Ticker;Name;Fitch Long Term Issuer Default Rating;Cntry Terrtry;GICS Sector
KHAN MO Equity;KHAN BANK JSC;B+;MJ;
PARR US Equity;PAR PACIFIC HOLDINGS INC;B+;US;Energy
IVN CN Equity;IVANHOE MINES LTD-CL A;B;CA;Materials
LEON SW Equity;LEONTEQ AG;BBB-;SZ;Financials
O2D GR Equity;TELEFONICA DEUTSCHLAND HOLDI;BBB;GE;Communication Services
GLPI US Equity;GAMING AND LEISURE PROPERTIE;BBB-;US;Real Estate
FSF NZ Equity;FONTERRA SHAREHOLDERS FUND;A;NZ;Consumer Staples
KPBA ZU Equity;KAPITALBANK ATB;B;UZ;
2799 HK Equity;CHINA CITIC FINANCIAL ASSE-H;BBB;CH;Financials
ALLE US Equity;ALLEGION PLC;BBB;IR;Industrials
ANE SM Equity;CORP ACCIONA ENERGIAS RENOVA;BBB-;SP;Utilities
ACBA AY Equity;ACBA BANK OJSC;BB-;AE;
RITM US Equity;RITHM CAPITAL CORP;BB-;US;Financials
AENA SM Equity;AENA SME SA;A;SP;Industrials
SNAP US Equity;SNAP INC - A;BB;US;Communication Services
HASI US Equity;HA SUSTAINABLE INFRASTRUCTUR;BBB-;US;Financials
COFA FP Equity;COFACE SA;A+;FR;Financials
GSBD US Equity;GOLDMAN SACHS BDC INC;BBB-;US;Financials
GNL US Equity;GLOBAL NET LEASE INC;BBB-;US;Real Estate
BSR VN Equity;BINH SON REFINING AND PETROC;BB+;VN;Energy
IPKY ZU Equity;IPAK YULI AITB;B;UZ;
ALKB ZU Equity;ALOQABANK AT;BB;UZ;
VBB VN Equity;VIETNAM THUONG TIN CJSB;B+;VN;
6066 HK Equity;CSC FINANCIAL CO LTD-H;BBB+;CH;Financials
EDR SM Equity;EDREAMS ODIGEO SL;B+;SP;Consumer Discretionary
REXR US Equity;REXFORD INDUSTRIAL REALTY IN;BBB+;US;Real Estate
288 HK Equity;WH GROUP LTD;BBB+;HK;Consumer Staples
NAVI US Equity;NAVIENT CORP;BB-;US;Financials
FNAC FP Equity;FNAC DARTY SA;BB+;FR;Consumer Discretionary
IRT US Equity;INDEPENDENCE REALTY TRUST IN;BBB;US;Real Estate
GWI LN Equity;GLOBALWORTH REAL ESTATE INVE;BBB-;RO;Real Estate
SPNT US Equity;SIRIUSPOINT LTD;BBB+;BD;Financials
CENOMICE AB Equity;ARABIAN CENTRES CO LTD;BB;SR;Real Estate
SNN RO Equity;SOCIETATEA NATIONALA NUCLEAR;BBB-;RO;Utilities
601198 CH Equity;DONGXING SECURITIES CO LT-A;BBB-;CH;Financials
KEYS US Equity;KEYSIGHT TECHNOLOGIES IN;BBB+;US;Information Technology
CNH US Equity;CNH INDUSTRIAL NV;BBB;GB;Industrials
TDAY US Equity;USA TODAY CO INC;B-;US;Communication Services
KHC US Equity;KRAFT HEINZ CO/THE;BBB;US;Consumer Staples
NMIH US Equity;NMI HOLDINGS INC;BBB+;US;Financials
DIGI RO Equity;DIGI COMMUNICATIONS NV;BB;RO;Communication Services
JUST LN Equity;JUST GROUP PLC;A;GB;Financials
CTRE US Equity;CARETRUST REIT INC;BBB-;US;Real Estate
1359 HK Equity;CHINA CINDA ASSET MANAGEME-H;A-;CH;Financials
AAL US Equity;AMERICAN AIRLINES GROUP INC;B+;US;Industrials
IBP US Equity;INSTALLED BUILDING PRODUCTS;BB+;US;Consumer Discretionary
SCG AU Equity;SCENTRE GROUP;A;AU;Real Estate
REIT DU Equity;EMIRATES REIT CEIC PLC;BB-;UA;Real Estate
SYF US Equity;SYNCHRONY FINANCIAL;BBB;US;Financials
ANIM IM Equity;ANIMA HOLDING SPA;BBB;IT;Financials
WB US Equity;WEIBO CORP-SPON ADR;BBB;CH;Communication Services
